web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href
"1682283659-186","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","The Indian ExpressSystematic attack on farmers, says Rahul Gandhi; denied permission to visit 
LakhimpurRahul Gandhi will try to lead a delegation of Congress leaders to Lakhimpur 
Kheri to meet the families of the victims who were mowed down by a convoy 
of three....06-Oct-2021","https://indianexpress.com/article/india/rahul-gandhi-lakhimpur-kheri-farmers-protest-7554987/","",""
"1682283659-187","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","India TodayThere is dictatorship in India now: Rahul Gandhi on not being allowed to 
visit LakhimpurThe remarks by Rahul Gandhi come after the Uttar Pradesh government denied 
him permission to visit Sitapur or Lakhimpur. advertisement. Addressing a 
press....06-Oct-2021","https://www.indiatoday.in/india/story/rahul-gandhi-lakhimpur-kheri-farmers-dictatorship-1861365-2021-10-06","",""
"1682283659-188","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Hindustan TimesRahul Gandhi, Priyanka reach Lakhimpur Kheri, meet family members | 10 
pointsPriyanka Gandhi was detained on Monday morning and was finally released on 
Wednesday evening after Rahul Gandhi reached Sitapur. Both are on their way 
to....06-Oct-2021","https://www.hindustantimes.com/india-news/rahul-gandhi-priyanka-leave-for-lakhimpur-sachin-pilot-stopped-at-moradabad-10-points-101633527936312.html","",""
"1682283659-189","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Hindustan Times‘Political tourism’: Union minister Giriraj Singh on Rahul Gandhi's 
Lakhimpur visitCongress delegation including Rahul Gandhi and party general secretary 
Priyanka Gandhi Vadra met the kin of deceased farmer Lovpreet Singh in 
Lakhimpur....10-Oct-2021","https://www.hindustantimes.com/india-news/political-tourism-union-minister-giriraj-singh-on-rahul-gandhi-s-lakhimpur-visit-101633833335015.html","",""
"1682283659-190","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","ThePrintRahul Gandhi’s impending return as president is a win-win for both Congress 
and BJPCWC choice of Rahul Gandhi as party president isn't about the fight against 
BJP. It was about the Gandhi dynasty's crown jewel, Congress, and they 
have....18-Oct-2021","https://theprint.in/opinion/politically-correct/rahul-gandhis-impending-return-as-president-is-a-win-win-for-both-congress-and-bjp/752186/","",""
"1682283659-191","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","India TodayUP is just the beginning: Rahul Gandhi on 40% tickets to women candidates 
announcementHailing the hardwork of women, Rahul Gandhi said 'UP is just the beginning' 
days after the Congress said it will give 40% of its tickets to women 
candidates....21-Oct-2021","https://www.indiatoday.in/india/story/up-is-just-the-beginning-rahul-gandhi-on-40-tickets-to-women-candidates-announcement-1867672-2021-10-21","",""
"1682283659-192","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Tribune IndiaRahul Gandhi, Congress candidates offer prayers at Golden TempleRahul Gandhi, Congress candidates offer prayers at Golden Temple. Kicking 
off his poll campaign in Punjab, Gandhi is scheduled to address a virtual 
rally at....27-Jan-2022","https://www.tribuneindia.com/news/punjab/congress-leader-rahul-gandhi-visits-golden-temple-to-address-virtual-rally-364689","",""
"1682283659-193","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","Hindustan TimesIndia a country of Hindus, not Hindutvavadis: Rahul GandhiIndia is a country of Hindus and not Hindutvavadis, who can do anything to 
remain in power, Congress leader Rahul Gandhi said on Sunday. Congress 
president....12-Dec-2021","https://www.hindustantimes.com/india-news/india-a-country-of-hindus-not-hindutvavadis-rahul-gandhi-101639333504046.html","",""
"1682283659-194","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","The Indian ExpressBJP to stay for many decades, Rahul Gandhi doesn’t realise it: Prashant 
KishorBJP to stay for many decades, Rahul Gandhi doesn't realise it: Prashant 
Kishor. By: Express Web Desk Goa | Updated: October 29, 2021 08:33 IST. 
Newsguard..29-Oct-2021","https://indianexpress.com/article/cities/goa/bjp-to-stay-rahul-gandhi-congress-prashant-kishor-7595267/","",""
"1682283659-195","https://www.google.com/search?q=rahul+gandhi&biw=743&bih=750&sxsrf=APwXEdfzWRL4Ob-eURCUKHdqEBroa1mZOg%3A1682283558453&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2021%2Ccd_max%3A1%2F30%2F2022&tbm=nws","The Indian ExpressSuspension of MPs: At Oppn march, Rahul Gandhi says Govt turned Parliament 
into museumSenior Congress leader Rahul Gandhi said the Government has turned 
Parliament into a museum by not allowing issues of national importance to 
be discussed in....14-Dec-2021","https://indianexpress.com/article/india/suspension-of-mps-parliament-rahul-gandhi-7672884/","",""
