web-scraper-order,web-scraper-start-url,Links,Links-href,pages,pages-href
"1682283372-118","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","The WireHas the Bharat Jodo Yatra Achieved What It Set Out to Do?Congress leader Rahul Gandhi during an event held in Srinagar, Kashmir, to 
mark the conclusion of Bharat Jodo Yatra on January 30, 2023..30-Jan-2023","https://thewire.in/politics/bharat-jodo-yatra-achievement-goals","",""
"1682283372-119","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","Times of India'Deepest, most beautiful experience': Rahul Gandhi on Bharat Jodo Yatra 
culminationThe yatra, which was launched on September 7 last year in Kanyakumari, has 
traversed 12 states and two Union Territories. It will officially culminate 
with the....30-Jan-2023","https://timesofindia.indiatimes.com/india/deepest-most-beautiful-experience-rahul-gandhi-on-eve-of-bharat-jodo-yatra-culmination/articleshow/97419572.cms","",""
"1682283372-120","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","The Indian ExpressAim of Bharat Jodo Yatra is to save liberal, secular ethos of India: Rahul 
GandhiThe aim of the yatra was to unite India, it was against the hate and 
violence being spread across the country. We have had a tremendous 
response. In fact, no....30-Jan-2023","https://indianexpress.com/article/india/bharat-jodo-yatra-rahul-gandhi-8412166/","",""
"1682283372-121","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","The Indian Express‘Opening a shop of love in the market of hate’ through Bharat Jodo Yatra, 
says Rahul GandhiRahul Gandhi-led 'Bharat Jodo Yatra' entered Haryana on December 21 in the 
presence of senior party leaders from the state, including former Haryana 
Chief....21-Dec-2022","https://indianexpress.com/article/india/rahul-gandhi-bharat-jodo-yatra-haryana-speech-8335825/","",""
"1682283372-122","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","Telegraph IndiaRahul Gandhi-led Bharat Jodo Yatra enters HaryanaCongress leader Rahul Gandhi-led 'Bharat Jodo Yatra' entered Haryana 
Wednesday morning in the presence of senior party leaders from the state..21-Dec-2022","https://www.telegraphindia.com/india/rahul-gandhi-led-bharat-jodo-yatra-enters-haryana/cid/1905017","",""
"1682283372-123","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","MintRahul Gandhi's Bharat Jodo Yatra in Delhi today; Avoid THESE routes | MintThe 3,500-km-long Bharat Jodo Yatra will enter the national capital today, 
December 24, around 6.30 am through the Badarpur border. It will reach Jai 
Dev Ashram....24-Dec-2022","https://www.livemint.com/news/india/police-issues-travel-advisory-ahead-of-bharat-jodo-yatra-s-delhi-leg-11671838725755.html","",""
"1682283372-124","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","The HinduRahul Gandhi’s Bharat Jodo Yatra enters Kerala on Saturday nightThe yatra will be on the road from 7 a.m till 11 a.m and from 4 p.m. till 7 
p.m. The time in between will be used by Mr. Gandhi to interact with the 
youth,....09-Sept-2022","https://www.thehindu.com/news/national/kerala/rahul-gandhis-bharat-jodo-yatra-enters-kerala-on-saturday-night/article65872280.ece","",""
"1682283372-125","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","Navbharat TimesRahul Gandhi Bharat Jodo Yatra: 136 दिन, 12 राज्‍य, 3500 किमी... कांग्रेस 
को राहुल गांधी की यात्रा से क्या मिला?नई दिल्‍ली: कांग्रेस के पूर्व अध्‍यक्ष राहुल गांधी की भारत जोड़ो यात्रा 
सोमवार को....30-Jan-2023","https://navbharattimes.indiatimes.com/india/bharat-jodo-yatra-what-congress-gets-from-rahul-gandhi-march/articleshow/97449578.cms","",""
"1682283372-126","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","Times of India'Bharat Jodo Yatra' enters Alappuzha district, Rahul Gandhi to meet 
youngstersKAYAMKULAM: The Congress' 'Bharat Jodo Yatra' led by Rahul Gandhi entered 
Alappuzha district on Saturday, the 7th day of its ongoing Kerala leg..17-Sept-2022","https://timesofindia.indiatimes.com/india/bharat-jodo-yatra-enters-alappuzha-district-rahul-gandhi-to-meet-youngsters/articleshow/94264797.cms","",""
"1682283372-127","https://www.google.com/search?q=Rahul+Gandhi+AND+Bharat+Jodo+Yatra&biw=1536&bih=750&sxsrf=APwXEdePAGf-mH6ciFczch5_WVmcGMW84A%3A1682283183464&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F7%2F2022%2Ccd_max%3A1%2F30%2F2023&tbm=nws","The Indian ExpressRahul Gandhi’s Bharat Jodo Yatra to enter Punjab today, will remain in 
state for 8 daysCongress leader Rahul Gandhi's Bharat Jodo Yatra will enter Punjab from 
Haryana on Tuesday evening through the Shambhu border. The yatra in Punjab 
will....10-Jan-2023","https://indianexpress.com/article/cities/chandigarh/rahul-gandhi-bharat-jodo-yatra-to-enter-punjab-8371016/","",""
